id,room_id/id,noted_date,temp,out/in
__export__.temp_log_43542_951ba926,Room Admin,15-10-2018 06:16,30,In
__export__.temp_log_43532_c5c725a7,Room Admin,15-10-2018 06:08,46,Out
__export__.temp_log_43531_9bbf46d7,Room Admin,15-10-2018 06:08,30,In
__export__.temp_log_43528_d0ddbccc,Room Admin,15-10-2018 06:06,45,Out
__export__.temp_log_43527_a4a0d34e,Room Admin,15-10-2018 06:06,29,In
__export__.temp_log_43524_548db115,Room Admin,15-10-2018 06:02,45,Out
__export__.temp_log_43521_bbd459a5,Room Admin,15-10-2018 06:00,46,Out
__export__.temp_log_43518_c12d2d36,Room Admin,15-10-2018 05:56,47,Out
__export__.temp_log_43516_17c24861,Room Admin,15-10-2018 05:54,46,Out
__export__.temp_log_43515_c49dbd14,Room Admin,15-10-2018 05:52,47,Out
__export__.temp_log_43514_63091149,Room Admin,15-10-2018 05:52,29,In
__export__.temp_log_43512_538daace,Room Admin,15-10-2018 05:50,46,Out
__export__.temp_log_43508_85133ac3,Room Admin,15-10-2018 05:48,45,Out
__export__.temp_log_43504_b41f3eec,Room Admin,15-10-2018 05:44,46,Out
__export__.temp_log_43499_3d75ab81,Room Admin,15-10-2018 05:40,45,Out
__export__.temp_log_43496_75a3107d,Room Admin,15-10-2018 05:38,44,Out
__export__.temp_log_43494_eba52187,Room Admin,15-10-2018 05:36,45,Out
__export__.temp_log_43493_73138c42,Room Admin,15-10-2018 05:36,30,In
__export__.temp_log_43491_2a7b97e0,Room Admin,15-10-2018 05:34,29,In
__export__.temp_log_43488_178f1a59,Room Admin,15-10-2018 05:32,46,Out
__export__.temp_log_43485_d69b60c9,Room Admin,15-10-2018 05:32,30,In
__export__.temp_log_43484_751f5fa3,Room Admin,15-10-2018 05:30,47,Out
__export__.temp_log_43482_9bc1f78c,Room Admin,15-10-2018 05:30,29,In
__export__.temp_log_43479_b950269e,Room Admin,15-10-2018 05:26,46,Out
__export__.temp_log_43475_117d152b,Room Admin,15-10-2018 05:24,47,Out
__export__.temp_log_43470_e89df149,Room Admin,15-10-2018 05:21,30,In
__export__.temp_log_43467_6e14d05b,Room Admin,15-10-2018 05:19,30,In
__export__.temp_log_43464_d5b03778,Room Admin,15-10-2018 05:17,29,In
__export__.temp_log_43462_f144d9ac,Room Admin,15-10-2018 05:16,46,Out
__export__.temp_log_43461_b0eeb603,Room Admin,15-10-2018 05:15,30,In
__export__.temp_log_43447_ed9bb435,Room Admin,15-10-2018 05:09,30,In
__export__.temp_log_43445_728ffdc5,Room Admin,15-10-2018 05:08,45,Out
__export__.temp_log_43443_edb0f7ba,Room Admin,15-10-2018 05:07,30,In
__export__.temp_log_43438_d6353d3b,Room Admin,15-10-2018 05:04,46,Out
__export__.temp_log_43435_f68a3037,Room Admin,15-10-2018 05:02,45,Out
__export__.temp_log_43428_5ab2d0e7,Room Admin,15-10-2018 04:56,46,Out
__export__.temp_log_43426_507d5d55,Room Admin,15-10-2018 04:54,45,Out
__export__.temp_log_43423_accd91e3,Room Admin,15-10-2018 04:52,44,Out
__export__.temp_log_43416_37dffd82,Room Admin,15-10-2018 04:46,45,Out
__export__.temp_log_43411_46b6a458,Room Admin,15-10-2018 04:42,44,Out
__export__.temp_log_43403_af9909c1,Room Admin,15-10-2018 04:35,30,In
__export__.temp_log_43400_cf56561c,Room Admin,15-10-2018 04:33,30,In
__export__.temp_log_43398_3d98b8c2,Room Admin,15-10-2018 04:32,44,Out
__export__.temp_log_43397_cdb9706a,Room Admin,15-10-2018 04:31,29,In
__export__.temp_log_43390_979d61e5,Room Admin,15-10-2018 04:26,44,Out
__export__.temp_log_43388_d6ecde99,Room Admin,15-10-2018 04:24,45,Out
__export__.temp_log_43387_61bf3cb1,Room Admin,15-10-2018 04:22,44,Out
__export__.temp_log_43382_3be63462,Room Admin,15-10-2018 04:18,44,Out
__export__.temp_log_43379_d1b9fd10,Room Admin,15-10-2018 04:16,45,Out
__export__.temp_log_43376_2e5ef92c,Room Admin,15-10-2018 04:14,44,Out
__export__.temp_log_43374_88c7faed,Room Admin,15-10-2018 04:12,44,Out
__export__.temp_log_43372_ec22ff3a,Room Admin,15-10-2018 04:11,30,In
__export__.temp_log_43370_bd025113,Room Admin,15-10-2018 04:10,44,Out
__export__.temp_log_43368_a60b803f,Room Admin,15-10-2018 04:08,43,Out
__export__.temp_log_43366_07ddd8cd,Room Admin,15-10-2018 04:07,30,In
__export__.temp_log_43364_143aa62b,Room Admin,15-10-2018 04:06,43,Out
__export__.temp_log_43361_2e0d68a6,Room Admin,15-10-2018 04:02,43,Out
__export__.temp_log_43359_f8211eb3,Room Admin,15-10-2018 04:01,30,In
__export__.temp_log_43358_47dbc132,Room Admin,15-10-2018 04:00,43,Out
__export__.temp_log_43356_36c577c6,Room Admin,15-10-2018 03:58,44,Out
__export__.temp_log_43354_89718e8b,Room Admin,15-10-2018 03:57,30,In
__export__.temp_log_43353_8aae4396,Room Admin,15-10-2018 03:56,43,Out
__export__.temp_log_43352_1ae6a1d6,Room Admin,15-10-2018 03:54,42,Out
__export__.temp_log_43347_bdf32de9,Room Admin,15-10-2018 03:50,43,Out
__export__.temp_log_43346_a5e8d7da,Room Admin,15-10-2018 03:49,30,In
__export__.temp_log_43345_5486e4a9,Room Admin,15-10-2018 03:48,42,Out
__export__.temp_log_43343_ce29e50a,Room Admin,15-10-2018 03:46,42,Out
__export__.temp_log_43341_59d2cb81,Room Admin,15-10-2018 03:45,31,In
__export__.temp_log_43340_37e630e4,Room Admin,15-10-2018 03:44,42,Out
__export__.temp_log_43338_70177c90,Room Admin,15-10-2018 03:43,31,In
__export__.temp_log_43336_6db2ca3d,Room Admin,15-10-2018 03:41,31,In
__export__.temp_log_43335_4b7e1bdd,Room Admin,15-10-2018 03:40,42,Out
__export__.temp_log_43332_9b5195a0,Room Admin,15-10-2018 03:39,31,In
__export__.temp_log_43331_eae8559a,Room Admin,15-10-2018 03:38,41,Out
__export__.temp_log_43328_661fee02,Room Admin,15-10-2018 03:36,41,Out
__export__.temp_log_43326_e4af8602,Room Admin,15-10-2018 03:34,41,Out
__export__.temp_log_43323_f444e844,Room Admin,15-10-2018 03:33,31,In
__export__.temp_log_43322_7c6663de,Room Admin,15-10-2018 03:32,40,Out
__export__.temp_log_43321_db903d4e,Room Admin,15-10-2018 03:30,40,Out
__export__.temp_log_43319_441dff50,Room Admin,15-10-2018 03:28,40,Out
__export__.temp_log_43314_69e8b8e5,Room Admin,15-10-2018 03:24,41,Out
__export__.temp_log_43311_40f0b48f,Room Admin,15-10-2018 03:22,41,Out
__export__.temp_log_43308_f309a6d7,Room Admin,15-10-2018 03:20,40,Out
__export__.temp_log_43307_e10d7b09,Room Admin,15-10-2018 03:17,32,In
__export__.temp_log_43304_93894bc4,Room Admin,15-10-2018 03:14,40,Out
__export__.temp_log_43300_b5e67808,Room Admin,15-10-2018 03:10,40,Out
__export__.temp_log_43295_4c77a02d,Room Admin,15-10-2018 03:08,41,Out
__export__.temp_log_43292_cdb2ee9c,Room Admin,15-10-2018 03:06,40,Out
__export__.temp_log_43289_1dfce761,Room Admin,15-10-2018 03:04,41,Out
__export__.temp_log_43287_1a87b22f,Room Admin,15-10-2018 03:03,33,In
__export__.temp_log_43282_ff03f658,Room Admin,15-10-2018 03:00,40,Out
__export__.temp_log_43279_c6d63c01,Room Admin,15-10-2018 02:59,33,In
__export__.temp_log_43277_01d08d5a,Room Admin,15-10-2018 02:58,41,Out
__export__.temp_log_43270_a7ae43a3,Room Admin,15-10-2018 02:54,41,Out
__export__.temp_log_43265_6cb4b06d,Room Admin,15-10-2018 02:50,41,Out
__export__.temp_log_43260_4eb3a65b,Room Admin,15-10-2018 02:45,33,In
__export__.temp_log_43257_b1eed2bb,Room Admin,15-10-2018 02:44,41,Out
__export__.temp_log_43253_815dc197,Room Admin,15-10-2018 02:42,40,Out
__export__.temp_log_43249_3e4fb6ea,Room Admin,15-10-2018 02:40,40,Out
__export__.temp_log_43245_e4838e6e,Room Admin,15-10-2018 02:37,33,In
__export__.temp_log_43242_2a38f74f,Room Admin,15-10-2018 02:36,40,Out
__export__.temp_log_43239_e8f012b1,Room Admin,15-10-2018 02:35,34,In
__export__.temp_log_43236_07a21dfb,Room Admin,15-10-2018 02:34,41,Out
__export__.temp_log_43234_0465f7d5,Room Admin,15-10-2018 02:33,33,In
__export__.temp_log_43232_d64ac9c0,Room Admin,15-10-2018 02:32,40,Out
__export__.temp_log_43229_61c901dd,Room Admin,15-10-2018 02:30,39,Out
__export__.temp_log_43227_cd0466f3,Room Admin,15-10-2018 02:29,33,In
__export__.temp_log_43225_dd389269,Room Admin,15-10-2018 02:28,39,Out
__export__.temp_log_43220_f88f79cf,Room Admin,15-10-2018 02:26,40,Out
__export__.temp_log_43216_16f4f966,Room Admin,15-10-2018 02:24,38,Out
__export__.temp_log_43211_a8bf4478,Room Admin,15-10-2018 02:22,39,Out
__export__.temp_log_43206_755e53b9,Room Admin,15-10-2018 02:20,39,Out
__export__.temp_log_43202_315d93fa,Room Admin,15-10-2018 02:18,38,Out
__export__.temp_log_43198_1e6524ad,Room Admin,15-10-2018 02:16,38,Out
__export__.temp_log_43195_b49c81ec,Room Admin,15-10-2018 02:14,37,Out
__export__.temp_log_43192_c3e5e504,Room Admin,15-10-2018 02:12,37,Out
__export__.temp_log_43190_573139bc,Room Admin,15-10-2018 02:10,37,Out
__export__.temp_log_43188_ba7f99df,Room Admin,15-10-2018 02:09,34,In
__export__.temp_log_43187_6f040590,Room Admin,15-10-2018 02:08,37,Out
__export__.temp_log_43186_a5013cee,Room Admin,15-10-2018 02:07,34,In
__export__.temp_log_43184_578bddf7,Room Admin,15-10-2018 02:06,37,Out
__export__.temp_log_43179_1c44482a,Room Admin,15-10-2018 02:02,38,Out
__export__.temp_log_43178_82b5a020,Room Admin,15-10-2018 02:01,35,In
__export__.temp_log_43177_9258a414,Room Admin,15-10-2018 02:00,37,Out
__export__.temp_log_43174_236645db,Room Admin,15-10-2018 01:58,39,Out
__export__.temp_log_43171_44799f8f,Room Admin,15-10-2018 01:56,42,Out
__export__.temp_log_43167_854da47e,Room Admin,15-10-2018 01:52,43,Out
__export__.temp_log_43160_ed2191f5,Room Admin,15-10-2018 01:45,42,Out
__export__.temp_log_43157_c27038b0,Room Admin,15-10-2018 01:43,43,Out
__export__.temp_log_43156_978a625d,Room Admin,15-10-2018 01:41,42,Out
__export__.temp_log_43153_7e1f582b,Room Admin,15-10-2018 01:37,42,Out
__export__.temp_log_43151_715dee47,Room Admin,15-10-2018 01:35,43,Out
__export__.temp_log_43149_717f7cd8,Room Admin,15-10-2018 01:33,42,Out
__export__.temp_log_43145_4b671360,Room Admin,15-10-2018 01:31,42,Out
__export__.temp_log_43138_9d89f82f,Room Admin,15-10-2018 01:27,43,Out
__export__.temp_log_43135_72f11a4e,Room Admin,15-10-2018 01:25,42,Out
__export__.temp_log_43132_96b31ac4,Room Admin,15-10-2018 01:23,43,Out
__export__.temp_log_43130_31b933e1,Room Admin,15-10-2018 01:21,42,Out
__export__.temp_log_43128_a99fbfd0,Room Admin,15-10-2018 01:19,42,Out
__export__.temp_log_43126_fb78e530,Room Admin,15-10-2018 01:17,43,Out
__export__.temp_log_43124_6c972b48,Room Admin,15-10-2018 01:15,42,Out
__export__.temp_log_43122_54272730,Room Admin,15-10-2018 01:13,43,Out
__export__.temp_log_43121_93c53645,Room Admin,15-10-2018 01:11,42,Out
__export__.temp_log_43118_7df0fa72,Room Admin,15-10-2018 01:09,41,Out
__export__.temp_log_43113_648f8ad1,Room Admin,15-10-2018 01:05,43,Out
__export__.temp_log_43112_f33c1ad4,Room Admin,15-10-2018 01:03,43,Out
__export__.temp_log_43110_7b8e9ef1,Room Admin,15-10-2018 01:01,43,Out
__export__.temp_log_43107_0b1723bf,Room Admin,15-10-2018 00:59,42,Out
__export__.temp_log_43102_6722c3cd,Room Admin,15-10-2018 00:55,42,Out
__export__.temp_log_43100_22542b9b,Room Admin,15-10-2018 00:53,43,Out
__export__.temp_log_43098_61e99a20,Room Admin,15-10-2018 00:51,42,Out
__export__.temp_log_43091_ee8e1ad5,Room Admin,15-10-2018 00:43,43,Out
__export__.temp_log_43088_210553a0,Room Admin,15-10-2018 00:41,42,Out
__export__.temp_log_43084_3b9338d8,Room Admin,15-10-2018 00:37,43,Out
__export__.temp_log_43081_d7b811a4,Room Admin,15-10-2018 00:35,43,Out
__export__.temp_log_43077_bee22aed,Room Admin,15-10-2018 00:29,43,Out
__export__.temp_log_43074_77b3d634,Room Admin,15-10-2018 00:27,43,Out
__export__.temp_log_43068_7418cd34,Room Admin,15-10-2018 00:23,43,Out
__export__.temp_log_43063_ed75d316,Room Admin,15-10-2018 00:17,43,Out
__export__.temp_log_43061_7889e2ae,Room Admin,15-10-2018 00:15,43,Out
__export__.temp_log_43058_4e91c3e9,Room Admin,15-10-2018 00:09,43,Out
__export__.temp_log_43054_15fa24b3,Room Admin,15-10-2018 00:05,43,Out
__export__.temp_log_43053_f33867ba,Room Admin,15-10-2018 00:03,44,Out
__export__.temp_log_43050_fb80f482,Room Admin,14-10-2018 23:59,43,Out
__export__.temp_log_43046_ec5d02ea,Room Admin,14-10-2018 23:57,43,Out
__export__.temp_log_43042_9c50611f,Room Admin,14-10-2018 23:55,43,Out
__export__.temp_log_43038_def6b49a,Room Admin,14-10-2018 23:53,44,Out
__export__.temp_log_43034_737e4334,Room Admin,14-10-2018 23:49,44,Out
__export__.temp_log_43027_a12b881c,Room Admin,14-10-2018 23:45,43,Out
__export__.temp_log_43022_8c697a79,Room Admin,14-10-2018 23:43,44,Out
__export__.temp_log_43021_a8612431,Room Admin,14-10-2018 23:41,43,Out
__export__.temp_log_43017_8dbd8a59,Room Admin,14-10-2018 23:39,43,Out
__export__.temp_log_43015_95283872,Room Admin,14-10-2018 23:37,43,Out
__export__.temp_log_43013_f57f363a,Room Admin,14-10-2018 23:35,42,Out
__export__.temp_log_43009_911ca748,Room Admin,14-10-2018 23:31,43,Out
__export__.temp_log_43002_46c3994b,Room Admin,14-10-2018 23:23,44,Out
__export__.temp_log_43000_1189bb1e,Room Admin,14-10-2018 23:21,43,Out
__export__.temp_log_42997_e32cc3c2,Room Admin,14-10-2018 23:19,43,Out
__export__.temp_log_42995_b408bd65,Room Admin,14-10-2018 23:17,43,Out
__export__.temp_log_42992_a5e3046c,Room Admin,14-10-2018 23:15,42,Out
__export__.temp_log_42989_e413204a,Room Admin,14-10-2018 23:13,43,Out
__export__.temp_log_42981_0bda0be5,Room Admin,14-10-2018 23:05,44,Out
__export__.temp_log_42978_102633fd,Room Admin,14-10-2018 23:03,44,Out
__export__.temp_log_42976_a0e9f479,Room Admin,14-10-2018 23:01,44,Out
__export__.temp_log_42972_bc0cce66,Room Admin,14-10-2018 22:59,43,Out
__export__.temp_log_42970_5a8477e3,Room Admin,14-10-2018 22:57,44,Out
__export__.temp_log_42968_fafdf7b5,Room Admin,14-10-2018 22:55,44,Out
__export__.temp_log_42964_42eca1ff,Room Admin,14-10-2018 22:53,35,In
__export__.temp_log_42963_687e5cb1,Room Admin,14-10-2018 22:53,45,Out
__export__.temp_log_42960_3aef4043,Room Admin,14-10-2018 22:51,44,Out
__export__.temp_log_42957_28d1901f,Room Admin,14-10-2018 22:49,35,In
__export__.temp_log_42953_5303638e,Room Admin,14-10-2018 22:47,45,Out
__export__.temp_log_42951_7c6875d6,Room Admin,14-10-2018 22:45,35,In
__export__.temp_log_42949_a3c057e4,Room Admin,14-10-2018 22:45,45,Out
__export__.temp_log_42946_41770335,Room Admin,14-10-2018 22:43,45,Out
__export__.temp_log_42943_d671ae7a,Room Admin,14-10-2018 22:41,35,In
__export__.temp_log_42941_f1317ad2,Room Admin,14-10-2018 22:41,46,Out
__export__.temp_log_42940_9a817ee0,Room Admin,14-10-2018 22:39,35,In
__export__.temp_log_42933_499e192e,Room Admin,14-10-2018 22:29,45,Out
__export__.temp_log_42928_d8f2df84,Room Admin,14-10-2018 22:23,44,Out
__export__.temp_log_42924_603649ea,Room Admin,14-10-2018 22:21,44,Out
__export__.temp_log_42915_e4649918,Room Admin,14-10-2018 22:13,44,Out
__export__.temp_log_42911_837933fb,Room Admin,14-10-2018 22:09,43,Out
__export__.temp_log_42909_7be09dd9,Room Admin,14-10-2018 22:07,43,Out
__export__.temp_log_42906_cee4ace4,Room Admin,14-10-2018 22:05,43,Out
__export__.temp_log_42902_5687b6ae,Room Admin,14-10-2018 22:03,43,Out
__export__.temp_log_42897_c17a3b4a,Room Admin,14-10-2018 22:01,43,Out
__export__.temp_log_42891_bf114a3f,Room Admin,14-10-2018 21:55,44,Out
__export__.temp_log_42889_28eea5df,Room Admin,14-10-2018 21:51,44,Out
__export__.temp_log_42888_fc2c087d,Room Admin,14-10-2018 21:49,45,Out
__export__.temp_log_42886_8d56d168,Room Admin,14-10-2018 21:47,44,Out
__export__.temp_log_42883_42b60136,Room Admin,14-10-2018 21:45,44,Out
__export__.temp_log_42880_84afef3b,Room Admin,14-10-2018 21:43,45,Out
__export__.temp_log_42876_18862c4a,Room Admin,14-10-2018 21:37,44,Out
__export__.temp_log_42874_3aecf1bb,Room Admin,14-10-2018 21:35,44,Out
__export__.temp_log_42871_d7495c1c,Room Admin,14-10-2018 21:33,43,Out
