id,room_id/id,noted_date,temp,out/in
__export__.temp_log_79356_c2c7b03b,Room Admin,22-10-2018 03:33,41,Out
__export__.temp_log_79353_1f164404,Room Admin,22-10-2018 03:31,40,Out
__export__.temp_log_79351_b15307e3,Room Admin,22-10-2018 03:29,41,Out
__export__.temp_log_79348_a767a014,Room Admin,22-10-2018 03:27,28,In
__export__.temp_log_79347_55b1bedd,Room Admin,22-10-2018 03:25,41,Out
__export__.temp_log_79346_8d8ef1cc,Room Admin,22-10-2018 03:25,29,In
__export__.temp_log_79344_1e1ac7f4,Room Admin,22-10-2018 03:23,41,Out
__export__.temp_log_79343_21d175b3,Room Admin,22-10-2018 03:23,28,In
__export__.temp_log_79341_7b6c5f67,Room Admin,22-10-2018 03:21,41,Out
__export__.temp_log_79338_f7170e4d,Room Admin,22-10-2018 03:19,41,Out
__export__.temp_log_79335_f542ddff,Room Admin,22-10-2018 03:15,41,Out
__export__.temp_log_79334_eda3dd26,Room Admin,22-10-2018 03:13,29,In
__export__.temp_log_79333_5a956c07,Room Admin,22-10-2018 03:11,41,Out
__export__.temp_log_79332_157c2f8f,Room Admin,22-10-2018 03:11,29,In
__export__.temp_log_79328_8c546412,Room Admin,22-10-2018 03:07,40,Out
__export__.temp_log_79326_ea5bc828,Room Admin,22-10-2018 03:05,40,Out
__export__.temp_log_79323_2dae351c,Room Admin,22-10-2018 03:03,40,Out
__export__.temp_log_79321_a5fcb059,Room Admin,22-10-2018 03:01,40,Out
__export__.temp_log_79320_d675086a,Room Admin,22-10-2018 03:01,30,In
__export__.temp_log_79317_b7322a46,Room Admin,22-10-2018 02:59,39,Out
__export__.temp_log_79315_7875626a,Room Admin,22-10-2018 02:57,40,Out
__export__.temp_log_79311_0462d760,Room Admin,22-10-2018 02:55,39,Out
__export__.temp_log_79310_1673cb5e,Room Admin,22-10-2018 02:55,31,In
__export__.temp_log_79309_4824bb3f,Room Admin,22-10-2018 02:53,39,Out
__export__.temp_log_79308_9b2f8d08,Room Admin,22-10-2018 02:53,31,In
__export__.temp_log_79307_7c2ee21c,Room Admin,22-10-2018 02:51,39,Out
__export__.temp_log_79305_434fa4d9,Room Admin,22-10-2018 02:51,32,In
__export__.temp_log_79301_382e3d7d,Room Admin,22-10-2018 02:47,39,Out
__export__.temp_log_79300_1dfd2842,Room Admin,22-10-2018 02:47,32,In
__export__.temp_log_79297_6b5a7721,Room Admin,22-10-2018 02:45,38,Out
__export__.temp_log_79296_4ece4c28,Room Admin,22-10-2018 02:45,32,In
__export__.temp_log_79294_09fd03ab,Room Admin,22-10-2018 02:43,33,In
__export__.temp_log_79291_163ad8ea,Room Admin,22-10-2018 02:41,38,Out
__export__.temp_log_79288_63c1d397,Room Admin,22-10-2018 02:39,33,In
__export__.temp_log_79285_51c90484,Room Admin,22-10-2018 02:37,38,Out
__export__.temp_log_79283_39445972,Room Admin,22-10-2018 02:35,33,In
__export__.temp_log_79280_66cf0918,Room Admin,22-10-2018 02:33,37,Out
__export__.temp_log_79279_0573623f,Room Admin,22-10-2018 02:33,34,In
__export__.temp_log_79277_0996f9ef,Room Admin,22-10-2018 02:29,37,Out
__export__.temp_log_79276_7f297d47,Room Admin,22-10-2018 02:29,34,In
__export__.temp_log_79273_c1718c57,Room Admin,22-10-2018 02:27,36,Out
__export__.temp_log_79272_284fb474,Room Admin,22-10-2018 02:25,36,Out
__export__.temp_log_79271_a693cc67,Room Admin,22-10-2018 02:25,34,In
__export__.temp_log_79268_44e200de,Room Admin,22-10-2018 02:23,37,Out
__export__.temp_log_79266_8f4b1248,Room Admin,22-10-2018 02:22,36,Out
__export__.temp_log_79265_c089db68,Room Admin,22-10-2018 02:20,36,Out
__export__.temp_log_79264_45e55467,Room Admin,22-10-2018 02:19,34,In
__export__.temp_log_79262_cc0820d9,Room Admin,22-10-2018 02:18,36,Out
__export__.temp_log_79261_ad008da4,Room Admin,22-10-2018 02:17,34,In
__export__.temp_log_79260_35816372,Room Admin,22-10-2018 02:16,37,Out
__export__.temp_log_79259_f5c02efb,Room Admin,22-10-2018 02:15,34,In
__export__.temp_log_79257_68435653,Room Admin,22-10-2018 02:14,38,Out
__export__.temp_log_79256_753068fb,Room Admin,22-10-2018 02:12,38,Out
__export__.temp_log_79254_1b98fb66,Room Admin,22-10-2018 02:10,39,Out
__export__.temp_log_79251_82c0cc25,Room Admin,22-10-2018 02:08,38,Out
__export__.temp_log_79248_05ae5553,Room Admin,22-10-2018 02:06,37,Out
__export__.temp_log_79246_4e1ba29b,Room Admin,22-10-2018 02:04,38,Out
__export__.temp_log_79244_f8be0851,Room Admin,22-10-2018 02:02,38,Out
__export__.temp_log_79242_23f726b8,Room Admin,22-10-2018 02:00,38,Out
__export__.temp_log_79239_511744fd,Room Admin,22-10-2018 01:58,38,Out
__export__.temp_log_79238_def3f8e4,Room Admin,22-10-2018 01:57,34,In
__export__.temp_log_79236_e383e5c2,Room Admin,22-10-2018 01:56,38,Out
__export__.temp_log_79234_ee24d4cd,Room Admin,22-10-2018 01:54,38,Out
__export__.temp_log_79232_62ae36f5,Room Admin,22-10-2018 01:53,34,In
__export__.temp_log_79230_5343333c,Room Admin,22-10-2018 01:52,38,Out
__export__.temp_log_79227_384ae990,Room Admin,22-10-2018 01:50,38,Out
__export__.temp_log_79223_1b02368b,Room Admin,22-10-2018 01:47,34,In
__export__.temp_log_79221_93c151e0,Room Admin,22-10-2018 01:46,39,Out
__export__.temp_log_79218_66f65801,Room Admin,22-10-2018 01:44,38,Out
__export__.temp_log_79216_44914559,Room Admin,22-10-2018 01:43,34,In
__export__.temp_log_79214_c9565e78,Room Admin,22-10-2018 01:42,37,Out
__export__.temp_log_79212_f69b8be8,Room Admin,22-10-2018 01:41,34,In
__export__.temp_log_79208_274d9d0d,Room Admin,22-10-2018 01:40,38,Out
__export__.temp_log_79203_d1605a00,Room Admin,22-10-2018 01:38,38,Out
