id,room_id/id,noted_date,temp,out/in
__export__.temp_log_97690_e3e1abb5,Room Admin,11-09-2018 13:43,32,Out
__export__.temp_log_106698_1542dd03,Room Admin,11-09-2018 13:42,33,Out
__export__.temp_log_110335_8fd6be4d,Room Admin,11-09-2018 13:42,32,Out
__export__.temp_log_134088_1088703b,Room Admin,11-09-2018 13:41,32,Out
__export__.temp_log_106995_b5f50c96,Room Admin,11-09-2018 13:41,32,Out
__export__.temp_log_137113_7817a106,Room Admin,11-09-2018 13:41,33,Out
__export__.temp_log_146876_5dfba65e,Room Admin,11-09-2018 13:40,33,In
__export__.temp_log_140114_d17ee6bd,Room Admin,11-09-2018 13:39,33,In
__export__.temp_log_105827_c1d97d66,Room Admin,11-09-2018 13:39,33,In
__export__.temp_log_104712_1d94bbb1,Room Admin,11-09-2018 13:39,32,Out
__export__.temp_log_99045_7ff56b9b,Room Admin,11-09-2018 13:39,32,Out
__export__.temp_log_102792_2c246659,Room Admin,11-09-2018 13:39,32,Out
__export__.temp_log_119762_c49418ac,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_86340_1c7ddecd,Room Admin,11-09-2018 13:38,33,Out
__export__.temp_log_138770_264aa758,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_99608_4c4c143c,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_100261_bfc7e3de,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_118627_5f7d83d3,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_109529_4e8fdaa2,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_148230_f03a9dde,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_94002_f4249b3a,Room Admin,11-09-2018 13:38,32,Out
__export__.temp_log_123633_914887db,Room Admin,11-09-2018 13:37,32,Out
__export__.temp_log_125414_d640cdef,Room Admin,11-09-2018 13:37,32,Out
__export__.temp_log_115370_0c1169d6,Room Admin,11-09-2018 13:37,33,In
__export__.temp_log_89068_69304580,Room Admin,11-09-2018 13:37,32,Out
__export__.temp_log_96026_8cfe690a,Room Admin,11-09-2018 13:37,32,Out
__export__.temp_log_142343_5ae46b2d,Room Admin,11-09-2018 13:36,32,Out
__export__.temp_log_121043_d9de3bc5,Room Admin,11-09-2018 13:36,32,Out
__export__.temp_log_91425_ac0dfde5,Room Admin,11-09-2018 13:36,32,Out
__export__.temp_log_89766_1badf6d7,Room Admin,11-09-2018 13:35,33,In
__export__.temp_log_101010_1e1d802c,Room Admin,11-09-2018 13:35,33,In
__export__.temp_log_116370_6e8279b9,Room Admin,11-09-2018 13:34,32,Out
__export__.temp_log_98222_078b1b35,Room Admin,11-09-2018 13:33,32,Out
__export__.temp_log_103531_b657d8c3,Room Admin,11-09-2018 13:33,33,Out
__export__.temp_log_154999_b18df0a3,Room Admin,11-09-2018 13:33,32,Out
__export__.temp_log_139998_80f9e450,Room Admin,11-09-2018 13:33,32,Out
__export__.temp_log_119715_eeea35ee,Room Admin,11-09-2018 13:33,33,Out
__export__.temp_log_124700_10d90c63,Room Admin,11-09-2018 13:33,32,Out
__export__.temp_log_105585_d442d1b0,Room Admin,11-09-2018 13:32,32,Out
__export__.temp_log_94814_b09b86bb,Room Admin,11-09-2018 13:32,33,Out
__export__.temp_log_100387_2cb61bb2,Room Admin,11-09-2018 13:32,32,Out
__export__.temp_log_133969_70fbadf2,Room Admin,11-09-2018 13:32,33,Out
__export__.temp_log_146860_535cb058,Room Admin,11-09-2018 13:32,32,Out
