id,room_id/id,noted_date,temp,out/in
__export__.temp_log_165017_49a1757b,Room Admin,27-11-2018 13:51,27,In
__export__.temp_log_165125_73eb8d92,Room Admin,27-11-2018 13:51,39,Out
__export__.temp_log_165016_a1d324e5,Room Admin,27-11-2018 13:51,39,Out
__export__.temp_log_165023_f05d2017,Room Admin,27-11-2018 13:49,38,Out
__export__.temp_log_165079_c702fde1,Room Admin,27-11-2018 13:49,38,Out
__export__.temp_log_165009_6d2cc7fe,Room Admin,27-11-2018 13:43,28,In
__export__.temp_log_165010_b6939d34,Room Admin,27-11-2018 13:43,28,In
__export__.temp_log_165075_d7c768f8,Room Admin,27-11-2018 13:43,38,Out
__export__.temp_log_165008_d646419c,Room Admin,27-11-2018 13:43,38,Out
__export__.temp_log_165116_d5d54357,Room Admin,27-11-2018 13:41,37,Out
__export__.temp_log_165022_b7f7bf29,Room Admin,27-11-2018 13:41,37,Out
__export__.temp_log_165004_ade329e7,Room Admin,27-11-2018 13:40,27,In
__export__.temp_log_165056_84147796,Room Admin,27-11-2018 13:40,27,In
__export__.temp_log_165073_8bf37376,Room Admin,27-11-2018 13:39,38,Out
__export__.temp_log_165110_72365fff,Room Admin,27-11-2018 13:39,38,Out
__export__.temp_log_165001_2b3d0551,Room Admin,27-11-2018 13:38,38,Out
__export__.temp_log_165032_c6dc69e5,Room Admin,27-11-2018 13:37,38,Out
__export__.temp_log_164999_e0c51b2c,Room Admin,27-11-2018 13:36,39,Out
__export__.temp_log_165040_122a366e,Room Admin,27-11-2018 13:35,39,Out
__export__.temp_log_164998_6464e24b,Room Admin,27-11-2018 13:34,40,Out
__export__.temp_log_164996_7eede509,Room Admin,27-11-2018 13:32,27,In
__export__.temp_log_165117_9b1581d3,Room Admin,27-11-2018 13:31,27,In
__export__.temp_log_165126_059fa277,Room Admin,27-11-2018 13:31,39,Out
__export__.temp_log_164995_d7b404e4,Room Admin,27-11-2018 13:31,39,Out
__export__.temp_log_164993_e9c5220d,Room Admin,27-11-2018 13:29,40,Out
__export__.temp_log_164992_eff98e3a,Room Admin,27-11-2018 13:29,40,Out
__export__.temp_log_164983_29201988,Room Admin,27-11-2018 13:18,27,In
__export__.temp_log_165078_5cf74338,Room Admin,27-11-2018 13:18,27,In
__export__.temp_log_164982_643734e6,Room Admin,27-11-2018 13:17,40,Out
__export__.temp_log_164981_89e99a90,Room Admin,27-11-2018 13:17,40,Out
__export__.temp_log_164979_99ada818,Room Admin,27-11-2018 13:15,40,Out
__export__.temp_log_165072_051dad28,Room Admin,27-11-2018 13:15,40,Out
__export__.temp_log_165065_9245df11,Room Admin,27-11-2018 13:14,27,In
__export__.temp_log_164978_781993a3,Room Admin,27-11-2018 13:14,27,In
__export__.temp_log_164976_706f094e,Room Admin,27-11-2018 13:11,39,Out
__export__.temp_log_164973_259b265c,Room Admin,27-11-2018 13:11,39,Out
__export__.temp_log_164972_5daa8c3e,Room Admin,27-11-2018 13:11,27,In
__export__.temp_log_165036_d0bcfaf5,Room Admin,27-11-2018 13:07,39,Out
__export__.temp_log_164969_efd115bd,Room Admin,27-11-2018 13:07,39,Out
__export__.temp_log_164965_24780b51,Room Admin,27-11-2018 13:04,27,In
__export__.temp_log_165091_b11b9dee,Room Admin,27-11-2018 13:04,27,In
__export__.temp_log_164963_dda81731,Room Admin,27-11-2018 13:01,27,In
__export__.temp_log_164961_927a60d4,Room Admin,27-11-2018 13:01,38,Out
__export__.temp_log_164962_107fed4f,Room Admin,27-11-2018 13:01,38,Out
__export__.temp_log_165092_fa130b48,Room Admin,27-11-2018 13:01,27,In
__export__.temp_log_164955_ab8088bc,Room Admin,27-11-2018 12:57,27,In
__export__.temp_log_164958_2127df57,Room Admin,27-11-2018 12:57,27,In
__export__.temp_log_164991_8173e3bf,Room Admin,27-11-2018 12:54,26,In
__export__.temp_log_164951_e1ef97f3,Room Admin,27-11-2018 12:54,26,In
__export__.temp_log_164947_722b13eb,Room Admin,27-11-2018 12:53,37,Out
__export__.temp_log_164950_c5ad7a2f,Room Admin,27-11-2018 12:53,37,Out
__export__.temp_log_164946_9d2ae0d6,Room Admin,27-11-2018 12:51,37,Out
__export__.temp_log_165076_719327de,Room Admin,27-11-2018 12:51,37,Out
__export__.temp_log_165102_a23eec15,Room Admin,27-11-2018 12:46,26,In
__export__.temp_log_164957_04184008,Room Admin,27-11-2018 12:46,26,In
