id,room_id/id,noted_date,temp,out/in
__export__.temp_log_141909_5200cc5b,Room Admin,10-09-2018 11:16,32,In
__export__.temp_log_127694_108b8a4c,Room Admin,10-09-2018 11:16,30,Out
__export__.temp_log_135088_0f98e829,Room Admin,10-09-2018 11:16,aaa,Out
__export__.temp_log_152968_3c016afb,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_154092_fe015103,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_139178_3e1b3b9b,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_131844_2dc56f45,Room Admin,10-09-2018 11:15,31,In
__export__.temp_log_145117_a5e7d64f,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_136355_cff55307,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_91218_921a2692,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_146033_8d72cade,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_108275_fd99443a,Room Admin,10-09-2018 11:15,31,In
__export__.temp_log_129925_803e6cda,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_137580_bedbd518,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_120162_69985910,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_149190_533b2c97,Room Admin,10-09-2018 11:15,31,In
__export__.temp_log_109796_2b5db74c,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_142156_30bbc022,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_146831_0925ed1f,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_95702_a4c14334,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_141621_954cfb1c,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_135542_95437642,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_153360_d8226a89,Room Admin,10-09-2018 11:15,31,In
__export__.temp_log_109332_f2615bf9,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_105960_0ed182bb,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_103832_a67952d6,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_127541_abb8f356,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_112464_677e8dc1,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_88467_e235b749,Room Admin,10-09-2018 11:15,31,In
__export__.temp_log_104391_a84e5c33,Room Admin,10-09-2018 11:15,30,Out
__export__.temp_log_135633_6195c04f,Room Admin,10-09-2018 11:15,32,In
__export__.temp_log_126373_5e1aaa02,Room Admin,10-09-2018 11:15,31,Out
__export__.temp_log_117620_31c9b3eb,Room Admin,10-09-2018 11:15,31,In
__export__.temp_log_142941_4756a341,Room Admin,10-09-2018 11:14,32,In
__export__.temp_log_93743_824aba5d,Room Admin,10-09-2018 11:14,31,In
__export__.temp_log_116299_12d473f6,Room Admin,10-09-2018 11:14,32,In
__export__.temp_log_110354_49a17860,Room Admin,10-09-2018 11:14,30,Out
__export__.temp_log_122343_591a5278,Room Admin,10-09-2018 11:14,31,Out
__export__.temp_log_137159_503f822f,Room Admin,10-09-2018 11:14,30,Out
__export__.temp_log_129976_9a7c61f5,Room Admin,10-09-2018 11:14,31,In
__export__.temp_log_116787_cc133e66,Room Admin,10-09-2018 11:14,32,In
__export__.temp_log_94508_f88f5312,Room Admin,10-09-2018 11:14,31,Out
__export__.temp_log_106497_afcb8e44,Room Admin,10-09-2018 11:14,30,Out
__export__.temp_log_92033_1ce69e96,Room Admin,10-09-2018 11:14,31,Out
__export__.temp_log_102196_4c018473,Room Admin,10-09-2018 11:14,31,Out
__export__.temp_log_137599_61cf1871,Room Admin,10-09-2018 11:14,31,In
__export__.temp_log_119609_15bf28f6,Room Admin,10-09-2018 11:14,32,In
__export__.temp_log_125761_88432c86,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_131201_077d5a90,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_86140_c4e692d4,Room Admin,10-09-2018 11:13,30,Out
__export__.temp_log_151708_88232293,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_98584_704557ad,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_122368_034f2a99,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_88665_f9271bea,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_130853_966e5bc8,Room Admin,10-09-2018 11:13,30,Out
__export__.temp_log_133090_722e05e7,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_144320_84c02d80,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_109207_3be31e70,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_118312_7d63a20e,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_142827_30b6c446,Room Admin,10-09-2018 11:13,30,Out
__export__.temp_log_107966_45dcb555,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_128308_1510e8ec,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_150591_40f6389a,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_109990_fa43573f,Room Admin,10-09-2018 11:13,30,Out
__export__.temp_log_144714_48f5e4c2,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_120301_11cb1f26,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_104344_44b93301,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_137239_122dbe0e,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_110802_1d28f371,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_120248_26da6771,Room Admin,10-09-2018 11:13,30,Out
__export__.temp_log_110610_acd4f906,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_90911_20b80996,Room Admin,10-09-2018 11:13,31,Out
__export__.temp_log_100375_cf9d0ba3,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_127077_e019bcc1,Room Admin,10-09-2018 11:13,32,In
__export__.temp_log_91110_ece9d41e,Room Admin,10-09-2018 11:13,30,Out
__export__.temp_log_96312_5eaa254a,Room Admin,10-09-2018 11:13,31,In
__export__.temp_log_99737_a2830d6d,Room Admin,10-09-2018 11:12,31,Out
__export__.temp_log_91366_5b7c70ab,Room Admin,10-09-2018 11:12,32,In
__export__.temp_log_111485_74894998,Room Admin,10-09-2018 11:12,31,In
__export__.temp_log_103928_e53678bf,Room Admin,10-09-2018 11:12,30,Out
__export__.temp_log_154161_c02a3843,Room Admin,10-09-2018 11:12,31,Out
__export__.temp_log_140092_bc9fbde3,Room Admin,10-09-2018 11:12,32,In
__export__.temp_log_88673_b9a9d43f,Room Admin,10-09-2018 11:12,31,In
__export__.temp_log_101533_559d8cbb,Room Admin,10-09-2018 11:12,30,Out
__export__.temp_log_123835_7a6de3a8,Room Admin,10-09-2018 11:12,32,In
__export__.temp_log_96726_b8a830df,Room Admin,10-09-2018 11:12,31,Out
__export__.temp_log_125448_d6a7a458,Room Admin,10-09-2018 11:12,31,In
__export__.temp_log_126679_575235aa,Room Admin,10-09-2018 11:12,30,Out
__export__.temp_log_122995_f02c7815,Room Admin,10-09-2018 11:12,31,Out
__export__.temp_log_92677_0761be31,Room Admin,10-09-2018 11:12,32,In
